example_id                                                              | status | run_time        |
./spec/lib/faultline/configuration_spec.rb[1:1:13]                      | passed | 0.00019 seconds |
./spec/lib/faultline/configuration_spec.rb[1:2:1]                       | passed | 0.00047 seconds |
./spec/lib/faultline/configuration_spec.rb[1:3:1]                       | passed | 0.00019 seconds |
./spec/lib/faultline/configuration_spec.rb[1:3:2]                       | passed | 0.00019 seconds |
./spec/lib/faultline/configuration_spec.rb[1:3:3]                       | passed | 0.0002 seconds  |
./spec/lib/faultline/configuration_spec.rb[1:4:1]                       | passed | 0.00021 seconds |
./spec/lib/faultline/configuration_spec.rb[1:4:2]                       | passed | 0.00022 seconds |
./spec/lib/faultline/configuration_spec.rb[1:5:1]                       | passed | 0.00031 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:1]                    | passed | 0.00115 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:2]                    | passed | 0.00211 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:3]                    | passed | 0.00097 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:4]                    | passed | 0.001 seconds   |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:5]                    | passed | 0.00124 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:1:6:1]                  | passed | 0.00115 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:2:1:1]                  | passed | 0.00087 seconds |
./spec/lib/faultline/error_subscriber_spec.rb[1:2:2:1]                  | passed | 0.00149 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:1:1:1]              | passed | 0.00205 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:1:2:1]              | passed | 0.00232 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:1:2:2]              | passed | 0.0024 seconds  |
./spec/lib/faultline/github_issue_creator_spec.rb[1:1:2:3:1]            | passed | 0.00225 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:1:2:4:1]            | passed | 0.00226 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:2:1]                | passed | 0.00209 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:2:2]                | passed | 0.00199 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:2:3]                | passed | 0.00175 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:3:1]                | passed | 0.0022 seconds  |
./spec/lib/faultline/github_issue_creator_spec.rb[1:3:2:1]              | passed | 0.0025 seconds  |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:1]                | passed | 0.00218 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:2]                | passed | 0.00225 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:3]                | passed | 0.00199 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:4]                | passed | 0.00176 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:5]                | passed | 0.00234 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:6]                | passed | 0.00555 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:4:7]                | passed | 0.00186 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:5:1]                | passed | 0.00231 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:5:2]                | passed | 0.00182 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:6:1:1]              | passed | 0.00224 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:6:2:1]              | passed | 0.0025 seconds  |
./spec/lib/faultline/github_issue_creator_spec.rb[1:7:1]                | passed | 0.00172 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:7:2]                | passed | 0.00171 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:7:3]                | passed | 0.00169 seconds |
./spec/lib/faultline/github_issue_creator_spec.rb[1:7:4]                | passed | 0.00201 seconds |
./spec/lib/faultline/middleware_spec.rb[1:1:1]                          | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:1:2]                          | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:1:3:1]                        | passed | 0.00048 seconds |
./spec/lib/faultline/middleware_spec.rb[1:1:3:2]                        | passed | 0.00051 seconds |
./spec/lib/faultline/middleware_spec.rb[1:1:3:3]                        | passed | 0.00051 seconds |
./spec/lib/faultline/middleware_spec.rb[1:2:1]                          | passed | 0.00027 seconds |
./spec/lib/faultline/middleware_spec.rb[1:2:2]                          | passed | 0.00032 seconds |
./spec/lib/faultline/middleware_spec.rb[1:3:1:1]                        | passed | 0.00029 seconds |
./spec/lib/faultline/middleware_spec.rb[1:3:2:1]                        | passed | 0.00046 seconds |
./spec/lib/faultline/middleware_spec.rb[1:3:3:1]                        | passed | 0.00028 seconds |
./spec/lib/faultline/middleware_spec.rb[1:4:1:1]                        | passed | 0.00029 seconds |
./spec/lib/faultline/middleware_spec.rb[1:4:2:1]                        | passed | 0.00028 seconds |
./spec/lib/faultline/middleware_spec.rb[1:4:3:1]                        | passed | 0.00031 seconds |
./spec/lib/faultline/middleware_spec.rb[1:5:1:1]                        | passed | 0.00025 seconds |
./spec/lib/faultline/middleware_spec.rb[1:5:2:1]                        | passed | 0.00024 seconds |
./spec/lib/faultline/middleware_spec.rb[1:5:2:2]                        | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:1]                          | passed | 0.00024 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:2]                          | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:3]                          | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:4]                          | passed | 0.00062 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:5]                          | passed | 0.00029 seconds |
./spec/lib/faultline/middleware_spec.rb[1:7:1]                          | passed | 0.0002 seconds  |
